INFO  - 2013-12-19 10:32:07.661; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=3 status=0 QTime=80 
INFO  - 2013-12-19 10:32:07.671; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-12-19 10:32:07.671; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-12-19 10:32:07.671; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-12-19 10:32:07.672; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@2bf37fa main{StandardDirectoryReader(segments_c:50:nrt _g(4.6):C2481/246:delGen=1 _f(4.6):C246 _h(4.6):C34)}
INFO  - 2013-12-19 10:32:10.665; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1387449130645&wt=json} status=0 QTime=4 
INFO  - 2013-12-19 10:32:10.703; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1387449130686&wt=json} status=0 QTime=11 
INFO  - 2013-12-19 10:34:01.365; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2013-12-19 10:34:01.366; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/home/mlp/flax/solr-4.6.0/example/solr-webapp/webapp/},/home/mlp/flax/solr-4.6.0/example/webapps/solr.war
INFO  - 2013-12-19 10:34:02.367; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=219359295
INFO  - 2013-12-19 10:34:02.369; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@5da3fb83
INFO  - 2013-12-19 10:34:02.370; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2013-12-19 10:34:02.371; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2013-12-19 10:34:02.372; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2013-12-19 10:34:02.373; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2013-12-19 10:34:02.375; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2013-12-19 10:34:02.377; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2013-12-19 10:34:02.377; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/mlp/flax/hackday/ukmp/solr/collection1/data [CachedDir<<refCount=0;path=/home/mlp/flax/hackday/ukmp/solr/collection1/data;done=false>>]
INFO  - 2013-12-19 10:34:02.378; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/mlp/flax/hackday/ukmp/solr/collection1/data
INFO  - 2013-12-19 10:34:02.378; org.apache.solr.core.CachingDirectoryFactory; looking to close /home/mlp/flax/hackday/ukmp/solr/collection1/data/index [CachedDir<<refCount=0;path=/home/mlp/flax/hackday/ukmp/solr/collection1/data/index;done=false>>]
INFO  - 2013-12-19 10:34:02.378; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /home/mlp/flax/hackday/ukmp/solr/collection1/data/index
INFO  - 2013-12-19 10:34:02.380; org.eclipse.jetty.server.handler.ContextHandler; stopped o.e.j.w.WebAppContext{/solr,file:/home/mlp/flax/solr-4.6.0/example/solr-webapp/webapp/},/home/mlp/flax/solr-4.6.0/example/webapps/solr.war
INFO  - 2013-12-19 10:34:12.162; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2013-12-19 10:34:12.185; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/mlp/flax/solr-4.6.0/example/contexts at interval 0
INFO  - 2013-12-19 10:34:12.191; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/mlp/flax/solr-4.6.0/example/contexts/solr-jetty-context.xml
INFO  - 2013-12-19 10:34:13.220; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-12-19 10:34:13.258; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-12-19 10:34:13.273; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-12-19 10:34:13.273; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /home/mlp/flax/hackday/ukmp/solr
INFO  - 2013-12-19 10:34:13.274; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/mlp/flax/hackday/ukmp/solr/'
INFO  - 2013-12-19 10:34:13.389; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/mlp/flax/hackday/ukmp/solr/solr.xml
INFO  - 2013-12-19 10:34:13.526; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2013-12-19 10:34:13.535; org.apache.solr.core.CoreContainer; New CoreContainer 18546089
INFO  - 2013-12-19 10:34:13.535; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/home/mlp/flax/hackday/ukmp/solr/]
INFO  - 2013-12-19 10:34:13.553; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-12-19 10:34:13.554; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-12-19 10:34:13.554; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-12-19 10:34:13.554; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-12-19 10:34:13.557; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-12-19 10:34:13.557; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-12-19 10:34:13.557; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-12-19 10:34:13.558; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-12-19 10:34:13.558; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-12-19 10:34:13.769; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2013-12-19 10:34:13.770; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2013-12-19 10:34:13.801; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/mlp/flax/hackday/ukmp/solr
INFO  - 2013-12-19 10:34:13.817; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/mlp/flax/hackday/ukmp/solr/collection1/
INFO  - 2013-12-19 10:34:13.817; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2013-12-19 10:34:13.819; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /home/mlp/flax/hackday/ukmp/solr/collection1
INFO  - 2013-12-19 10:34:13.819; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/mlp/flax/hackday/ukmp/solr/collection1/'
INFO  - 2013-12-19 10:34:13.926; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2013-12-19 10:34:13.927; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../contrib/extraction/lib).
WARN  - 2013-12-19 10:34:13.927; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../dist).
WARN  - 2013-12-19 10:34:13.928; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../contrib/clustering/lib).
WARN  - 2013-12-19 10:34:13.928; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../dist).
WARN  - 2013-12-19 10:34:13.928; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../contrib/langid/lib).
WARN  - 2013-12-19 10:34:13.928; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../dist).
WARN  - 2013-12-19 10:34:13.928; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../contrib/velocity/lib).
WARN  - 2013-12-19 10:34:13.929; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/mlp/flax/hackday/ukmp/solr/collection1/../../../dist).
INFO  - 2013-12-19 10:34:14.073; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2013-12-19 10:34:14.079; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_44
INFO  - 2013-12-19 10:34:14.197; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-12-19 10:34:14.203; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-12-19 10:34:14.278; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-12-19 10:34:14.910; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-12-19 10:34:14.989; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-19 10:34:14.999; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-19 10:34:15.150; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-12-19 10:34:15.156; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/mlp/flax/hackday/ukmp/solr/collection1/, dataDir=/home/mlp/flax/hackday/ukmp/solr/collection1/data/
INFO  - 2013-12-19 10:34:15.158; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-12-19 10:34:15.161; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-12-19 10:34:15.162; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-12-19 10:34:15.175; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/mlp/flax/hackday/ukmp/solr/collection1/data
INFO  - 2013-12-19 10:34:15.175; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/mlp/flax/hackday/ukmp/solr/collection1/data/index/
WARN  - 2013-12-19 10:34:15.176; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/home/mlp/flax/hackday/ukmp/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-12-19 10:34:15.182; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/mlp/flax/hackday/ukmp/solr/collection1/data/index
INFO  - 2013-12-19 10:34:15.274; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/mlp/flax/hackday/ukmp/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@656948a1; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-12-19 10:34:15.274; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-12-19 10:34:15.277; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-12-19 10:34:15.277; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-12-19 10:34:15.278; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
